15.237.136.106 78 267225194
15.237.192.168 9 267239592
18.195.32.33 36 314777633
18.195.155.181 11 314809269
18.203.78.129 6 315313793
23.64.227.145 78 390128529
23.64.239.239 70 390131695
23.65.119.243 44 390166515
24.196.224.170 2 415555754
35.232.111.17 10 602435345
37.252.161.190 132 637313470
52.9.112.243 59 873033971
52.59.81.87 25 876302679
52.59.128.17 30 876314641
52.84.194.197 42 877970117
52.95.116.38 47 878670886
52.95.123.41 28 878672681
52.166.113.188 23 883323324
52.200.208.53 139 885575733
52.203.29.144 53 885726608
52.210.177.43 7 886223147
52.222.230.61 54 887023165
54.230.230.150 122 921101974
54.239.192.52 40 921681972
54.239.192.106 23 921682026
54.239.192.107 81 921682027
64.233.164.189 129 1089053885
64.233.165.156 6 1089054108
70.42.32.127 87 1177165951
70.42.32.191 88 1177166015
72.251.249.14 28 1224472846
75.2.71.224 47 1258440672
77.245.57.72 16 1307916616
82.144.192.7 18 1385218055
91.189.91.39 10 1539136295
91.189.94.4 2 1539137028
91.223.19.240 28 1541346288
91.228.74.198 62 1541688006
93.184.220.29 9 1572396061
94.237.48.86 113 1592602710
99.80.110.198 19 1666215622
99.83.181.31 126 1666430239
99.83.219.124 64 1666440060
104.16.18.94 57 1745883742
104.16.148.64 104 1745916992
104.17.208.240 66 1745998064
104.17.209.240 24 1745998320
104.19.149.54 22 1746113846
104.26.7.155 36 1746536347
104.81.226.48 118 1750196784
104.244.42.5 46 1760832005
104.244.42.67 58 1760832067
127.0.0.1 5734 2130706433
127.0.0.53 5732 2130706485
128.209.169.255 4 2161224191
136.144.59.88 27 2291153752
142.250.75.1 133 2398767873
142.250.75.2 513 2398767874
142.250.75.3 6 2398767875
142.250.75.8 15 2398767880
143.223.191.150 1 2413805462
151.101.1.67 361 2539979075
151.101.2.109 14 2539979373
151.101.38.49 8 2539988529
151.101.129.67 328 2540011843
151.101.241.67 1159 2540040515
151.101.242.109 912 2540040813
151.101.242.132 46 2540040836
151.101.242.133 101 2540040837
151.101.242.202 50 2540040906
151.139.128.14 24 2542501902
172.217.16.1 335 2899906561
172.217.16.3 6 2899906563
172.217.16.6 98 2899906566
172.217.16.14 764 2899906574
172.217.16.18 6 2899906578
172.217.16.35 37 2899906595
172.217.16.37 2948 2899906597
172.217.16.42 30 2899906602
172.217.16.50 6 2899906610
172.217.20.162 6 2899907746
172.217.20.163 44 2899907747
172.217.20.170 444 2899907754
172.217.20.195 7 2899907779
172.217.20.202 23 2899907786
184.30.212.81 32 3089028177
213.19.162.41 25 3574833705
216.52.2.39 26 3627287079
216.58.208.194 56 3627733186
216.58.208.197 27 3627733189
216.58.208.202 94 3627733194
216.58.209.1 73 3627733249
216.58.209.2 24 3627733250
216.58.209.3 252 3627733251

